batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,position,career,OPS,starting_salary
297,진갑용,2000,삼성,0.273,114,297,30,81,14,0,8,119,58,2,1,23,6,45,7,0.4006734007,0.3374233129,7,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.7380967136,
297,진갑용,2001,삼성,0.306,89,314,54,96,25,2,7,146,57,2,3,23,7,37,4,0.4649681529,0.3662790698,4,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.8312472226,
297,진갑용,2002,삼성,0.281,133,462,58,130,29,1,18,215,86,0,0,41,8,56,13,0.4653679654,0.3502935421,11,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.8156615074,
297,진갑용,2003,삼성,0.29,126,435,64,126,20,2,21,213,53,1,1,36,10,34,13,0.4896551724,0.3575883576,13,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.84724353,
297,진갑용,2004,삼성,0.278,129,439,60,122,20,0,24,214,71,0,0,34,12,51,16,0.4874715262,0.3463917526,5,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.8338632788,
297,진갑용,2005,삼성,0.288,110,347,34,100,17,0,6,135,41,1,1,36,8,47,8,0.3890489914,0.368286445,6,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.7573354364,
297,진갑용,2006,삼성,0.288,110,358,28,103,22,0,6,143,47,1,2,29,5,37,18,0.3994413408,0.3494897959,4,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.7489311367,
297,진갑용,2007,삼성,0.246,122,362,28,89,12,0,5,116,39,0,1,49,7,38,9,0.320441989,0.3468899522,4,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.6673319411,
297,진갑용,2008,삼성,0.279,105,272,34,76,7,0,11,116,45,1,1,30,1,41,6,0.4264705882,0.3531353135,3,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.7796059018,
297,진갑용,2009,삼성,0.232,57,142,10,33,3,1,3,47,20,1,2,15,4,23,5,0.3309859155,0.3229813665,2,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.653967282,
297,진갑용,2010,삼성,0.263,100,259,36,68,8,0,10,106,28,0,0,45,2,57,7,0.4092664093,0.3758169935,4,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.7850834027,
297,진갑용,2011,삼성,0.273,112,286,26,78,7,0,10,115,42,1,0,35,3,53,10,0.4020979021,0.3580246914,6,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.7601225935,
297,진갑용,2012,삼성,0.307,114,313,27,96,15,1,6,131,57,0,0,17,7,46,6,0.4185303514,0.3560830861,3,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.7746134375,
297,진갑용,2013,삼성,0.271,101,181,22,49,9,0,6,76,36,0,0,12,5,28,5,0.4198895028,0.3333333333,4,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.7532228361,
297,진갑용,2014,삼성,0.412,11,17,2,7,0,0,0,7,4,0,0,0,0,1,0,0.4117647059,0.4117647059,1,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.8235294118,
297,진갑용,2015,삼성,0.324,39,68,8,22,2,0,3,33,10,0,0,4,0,9,3,0.4852941176,0.3611111111,0,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,0.8464052288,
3,강민국,2014,NC,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,176cm/80kg,1992년 01월 10일,내야수(우투우타),송정동초-충장중-광주제일고-동국대-NC-상무,0,20000만원
3,강민국,2015,NC,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,176cm/80kg,1992년 01월 10일,내야수(우투우타),송정동초-충장중-광주제일고-동국대-NC-상무,0,20000만원
3,강민국,2016,NC,0.13,24,23,2,3,1,0,1,7,1,0,0,2,0,9,1,0.304,0.2,4,176cm/80kg,1992년 01월 10일,내야수(우투우타),송정동초-충장중-광주제일고-동국대-NC-상무,0.504,20000만원
3,강민국,2018,NC,0.25,6,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0.25,0.25,0,176cm/80kg,1992년 01월 10일,내야수(우투우타),송정동초-충장중-광주제일고-동국대-NC-상무,0.5,20000만원
4,강민호,2004,롯데,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0,9000만원
4,강민호,2005,롯데,0.243,104,214,20,52,11,2,2,73,18,1,4,5,2,56,7,0.341,0.267,9,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.608,9000만원
4,강민호,2006,롯데,0.251,126,410,40,103,20,0,9,150,53,4,1,23,11,78,5,0.366,0.307,12,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.673,9000만원
4,강민호,2007,롯데,0.271,125,413,48,112,20,0,14,174,68,1,4,37,4,88,10,0.421,0.335,11,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.756,9000만원
4,강민호,2008,롯데,0.292,122,435,51,127,25,1,19,211,82,2,4,49,7,77,13,0.485,0.365,6,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.85,9000만원
4,강민호,2009,롯데,0.26,83,262,36,68,13,0,9,108,30,0,0,33,3,44,9,0.412,0.346,6,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.758,9000만원
4,강민호,2010,롯데,0.305,117,410,66,125,19,1,23,215,72,2,7,42,8,65,16,0.524,0.376,11,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.9,9000만원
4,강민호,2011,롯데,0.289,124,450,63,130,25,2,19,216,66,4,6,47,8,81,18,0.48,0.366,15,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.846,9000만원
4,강민호,2012,롯데,0.273,119,400,41,109,21,0,19,187,66,0,1,44,8,97,9,0.468,0.355,3,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.823,9000만원
4,강민호,2013,롯데,0.235,105,327,48,77,13,0,11,123,57,4,1,60,11,87,5,0.376,0.366,8,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.742,9000만원
4,강민호,2014,롯데,0.229,98,310,37,71,14,2,16,137,40,1,2,33,13,92,6,0.442,0.325,3,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.767,9000만원
4,강민호,2015,롯데,0.311,123,380,63,118,18,1,35,243,86,0,0,60,14,112,14,0.639,0.421,8,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,1.06,9000만원
4,강민호,2016,롯데,0.323,116,381,65,123,26,0,20,209,72,4,0,66,10,91,7,0.549,0.433,4,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.982,9000만원
4,강민호,2017,롯데,0.285,130,456,62,130,22,1,22,220,68,0,2,41,15,104,15,0.482,0.361,11,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.843,9000만원
4,강민호,2018,삼성,0.269,129,427,46,115,14,0,22,195,71,0,0,29,14,96,11,0.457,0.331,8,185cm/100kg,1985년 08월 18일,포수(우투우타),제주신광초-포철중-포철공고-(국제디지털대)-롯데,0.788,9000만원
5,강백호,2018,KT,0.29,138,527,108,153,32,2,29,276,84,3,5,52,3,124,4,0.524,0.356,6,184cm/98kg,1999년 07월 29일,외야수(우투좌타),부천북초-이수중-서울고,0.88,45000만원
6,강병식,2002,현대,0.208,89,130,16,27,3,1,6,50,20,0,2,11,3,35,5,0.3846153846,0.2847222222,1,,1977년 04월 23일,,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,0.6693376068,
6,강병식,2003,현대,0.138,43,65,6,9,0,1,2,17,11,0,1,12,1,17,1,0.2615384615,0.2820512821,4,,1977년 04월 23일,,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,0.5435897436,
6,강병식,2004,현대,0.176,16,17,0,3,1,0,0,4,1,1,0,3,0,5,1,0.2352941176,0.3,0,,1977년 04월 23일,,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,0.5352941176,
6,강병식,2005,현대,0.247,94,182,25,45,10,0,6,73,20,2,0,27,4,44,6,0.4010989011,0.3568075117,3,,1977년 04월 23일,,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,0.7579064128,
6,강병식,2006,현대,0.218,93,133,16,29,7,1,4,50,25,1,1,19,4,28,7,0.3759398496,0.3333333333,2,,1977년 04월 23일,,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,0.709273183,
6,강병식,2007,현대,0.274,91,135,11,37,4,0,4,53,17,0,1,13,0,24,5,0.3925925926,0.3378378378,3,,1977년 04월 23일,,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,0.7304304304,
6,강병식,2008,우리,0.269,71,119,12,32,8,0,4,52,17,0,2,14,3,18,2,0.4369747899,0.3602941176,2,,1977년 04월 23일,,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,0.7972689076,
6,강병식,2009,히어로즈,0.25,54,76,9,19,4,0,2,29,14,2,2,13,3,21,0,0.3815789474,0.3804347826,3,,1977년 04월 23일,,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,0.76201373,
6,강병식,2010,넥센,0.287,107,251,32,72,9,1,9,110,30,2,2,34,11,51,5,0.438247012,0.3952702703,0,,1977년 04월 23일,,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,0.8335172822,
6,강병식,2011,넥센,0.174,77,167,16,29,8,1,2,45,17,2,0,15,2,53,3,0.2694610778,0.25,0,,1977년 04월 23일,,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,0.5194610778,
6,강병식,2012,넥센,0.2,26,30,4,6,2,0,0,8,2,1,1,5,1,9,0,0.2666666667,0.3333333333,0,,1977년 04월 23일,,성동초-신일중-신일고-고려대-상무-현대-우리-히어로즈-넥센,0.6,
7,강봉규,2000,두산,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0,
7,강봉규,2001,두산,0.236,64,89,16,21,7,1,2,36,11,2,0,6,1,28,1,0.404494382,0.2916666667,1,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.6961610487,
7,강봉규,2002,두산,0.25,93,160,30,40,6,1,5,63,25,6,1,16,2,43,4,0.39375,0.3258426966,1,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.7195926966,
7,강봉규,2003,두산,0.231,6,13,3,3,0,0,1,6,3,1,0,2,0,2,1,0.4615384615,0.3333333333,0,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.7948717949,
7,강봉규,2004,두산,0.236,40,72,14,17,2,1,1,24,5,2,1,10,1,20,0,0.3333333333,0.3373493976,1,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.6706827309,
7,강봉규,2005,두산,0.235,48,102,12,24,3,1,1,32,10,2,1,18,2,30,2,0.3137254902,0.3606557377,0,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.6743812279,
7,강봉규,2006,삼성,0.234,87,128,16,30,6,1,4,50,16,4,3,13,1,33,2,0.390625,0.3098591549,1,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.7004841549,
7,강봉규,2007,삼성,0.282,83,142,20,40,9,1,1,54,13,4,2,16,5,25,4,0.3802816901,0.3742331288,2,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.754514819,
7,강봉규,2008,삼성,0.276,81,134,27,37,8,0,3,54,14,3,4,19,3,28,3,0.4029850746,0.3782051282,1,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.7811902028,
7,강봉규,2009,삼성,0.31,126,449,89,139,24,2,20,227,78,20,3,69,4,61,15,0.5055679287,0.4061302682,4,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.9116981969,
7,강봉규,2010,삼성,0.237,89,232,38,55,12,0,4,79,26,8,0,40,2,44,8,0.3405172414,0.3540145985,4,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.6945318399,
7,강봉규,2011,삼성,0.267,52,146,14,39,7,1,1,51,18,3,1,17,2,24,3,0.3493150685,0.3515151515,1,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.70083022,
7,강봉규,2012,삼성,0.255,102,235,30,60,10,1,6,90,38,5,3,28,2,49,5,0.3829787234,0.3396226415,2,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.7226013649,
7,강봉규,2013,삼성,0.207,32,82,11,17,5,0,0,22,5,3,0,14,1,19,5,0.2682926829,0.3298969072,0,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.5981895901,
7,강봉규,2015,삼성,0,5,6,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0.25,0,,1978년 01월 12일,,부천초-개성중-경남고-고려대-두산-삼성,0.25,
8,강상원,2017,한화,0.214,33,14,8,3,1,0,0,4,1,0,0,0,0,5,0,0.286,0.214,0,172cm/64kg,1997년 05월 05일,외야수(우투좌타),온양온천초-온양중-북일고,0.5,3000만원
8,강상원,2018,한화,0,6,6,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0.143,0,172cm/64kg,1997년 05월 05일,외야수(우투좌타),온양온천초-온양중-북일고,0.143,3000만원
9,강승호,2016,LG,0.184,18,38,4,7,3,0,0,10,3,0,0,2,0,12,0,0.263,0.22,5,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,0.483,20000만원
9,강승호,2017,LG,0.25,85,248,42,62,14,2,5,95,31,2,2,7,3,67,5,0.383,0.272,12,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,0.655,20000만원
9,강승호,2018,SK,0.255,69,184,14,47,10,0,3,66,31,1,1,18,3,57,2,0.359,0.33,11,179cm/77kg,1994년 02월 09일,내야수(우투우타),순천북초-천안북중-북일고-LG-경찰-LG,0.689,20000만원
10,강정호,2006,현대,0.15,10,20,1,3,1,0,0,4,1,0,1,0,0,8,1,0.2,0.15,3,,1987년 04월 05일,,화정초-무등중-광주제일고-(남부대)-현대-우리-히어로즈-넥센,0.35,
10,강정호,2007,현대,0.133,20,15,0,2,0,0,0,2,0,0,0,0,0,5,1,0.1333333333,0.1333333333,0,,1987년 04월 05일,,화정초-무등중-광주제일고-(남부대)-현대-우리-히어로즈-넥센,0.2666666667,
10,강정호,2008,우리,0.271,116,362,36,98,18,1,8,142,47,3,1,31,5,65,12,0.3922651934,0.3366834171,13,,1987년 04월 05일,,화정초-무등중-광주제일고-(남부대)-현대-우리-히어로즈-넥센,0.7289486105,
10,강정호,2009,히어로즈,0.286,133,476,73,136,33,2,23,242,81,3,2,45,4,81,18,0.5084033613,0.3523809524,15,,1987년 04월 05일,,화정초-무등중-광주제일고-(남부대)-현대-우리-히어로즈-넥센,0.8607843137,
10,강정호,2010,넥센,0.301,133,449,60,135,30,2,12,205,58,2,2,61,7,87,14,0.4565701559,0.3926499033,23,,1987년 04월 05일,,화정초-무등중-광주제일고-(남부대)-현대-우리-히어로즈-넥센,0.8492200592,
10,강정호,2011,넥센,0.282,123,444,53,125,22,2,9,178,63,4,6,43,9,62,12,0.4009009009,0.3568548387,13,,1987년 04월 05일,,화정초-무등중-광주제일고-(남부대)-현대-우리-히어로즈-넥센,0.7577557396,
10,강정호,2012,넥센,0.314,124,436,77,137,32,0,25,244,82,21,5,71,6,78,16,0.5596330275,0.4171539961,12,,1987년 04월 05일,,화정초-무등중-광주제일고-(남부대)-현대-우리-히어로즈-넥센,0.9767870236,
10,강정호,2013,넥센,0.291,126,450,67,131,21,1,22,220,96,15,8,68,6,109,18,0.4888888889,0.391221374,15,,1987년 04월 05일,,화정초-무등중-광주제일고-(남부대)-현대-우리-히어로즈-넥센,0.8801102629,
10,강정호,2014,넥센,0.356,117,418,103,149,36,2,40,309,117,3,3,68,13,106,8,0.7392344498,0.4609218437,9,,1987년 04월 05일,,화정초-무등중-광주제일고-(남부대)-현대-우리-히어로즈-넥센,1.200156293,
11,강진성,2013,NC,0.5,3,2,1,1,1,0,0,2,0,0,0,1,0,0,0,1,0.667,0,180cm/81kg,1993년 10월 19일,내야수(우투우타),가동초-잠신중-경기고-NC-경찰,1.667,7000만원
11,강진성,2017,NC,0.296,28,27,5,8,3,0,1,14,5,0,0,4,1,4,1,0.519,0.406,0,180cm/81kg,1993년 10월 19일,내야수(우투우타),가동초-잠신중-경기고-NC-경찰,0.925,7000만원
11,강진성,2018,NC,0.235,45,68,5,16,3,0,0,19,1,0,0,4,0,17,3,0.279,0.274,0,180cm/81kg,1993년 10월 19일,내야수(우투우타),가동초-잠신중-경기고-NC-경찰,0.553,7000만원
12,강한울,2014,KIA,0.264,93,208,32,55,5,4,0,68,14,4,2,8,1,44,1,0.327,0.294,11,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,0.621,14000만원
12,강한울,2015,KIA,0.205,90,264,30,54,8,3,0,68,12,9,4,13,3,51,2,0.258,0.25,12,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,0.508,14000만원
12,강한울,2016,KIA,0.272,104,298,36,81,13,3,0,100,27,7,3,15,0,46,2,0.336,0.307,11,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,0.643,14000만원
12,강한울,2017,삼성,0.303,135,412,58,125,9,3,0,140,24,12,7,26,0,57,4,0.34,0.344,16,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,0.684,14000만원
12,강한울,2018,삼성,0.259,83,193,20,50,5,2,0,59,8,3,4,12,1,34,1,0.306,0.306,4,181cm/66kg,1991년 09월 12일,내야수(우투좌타),사당초-중앙중-안산공고-원광대-KIA,0.612,14000만원
13,고도현,2013,롯데,0.25,4,4,0,1,0,0,0,1,1,0,0,0,0,2,0,0.25,0.25,0,,1990년 10월 13일,,내당초-경운중-대구고-동의대,0.5,
13,고도현,2014,롯데,0.286,4,7,0,2,0,0,0,2,1,0,0,0,0,2,0,0.2857142857,0.2857142857,0,,1990년 10월 13일,,내당초-경운중-대구고-동의대,0.5714285714,
14,고동진,2004,한화,0.317,51,161,27,51,12,0,5,78,19,8,2,7,7,40,1,0.4844720497,0.3714285714,3,,1980년 04월 01일,,대전중리초-한밭중-대전고-성균관대-한화,0.8559006211,
14,고동진,2005,한화,0.2,94,250,42,50,14,0,3,73,11,11,3,23,16,45,4,0.292,0.3079584775,4,,1980년 04월 01일,,대전중리초-한밭중-대전고-성균관대-한화,0.5999584775,
14,고동진,2006,한화,0.241,120,370,40,89,14,2,4,119,29,16,4,21,12,80,6,0.3216216216,0.3027295285,3,,1980년 04월 01일,,대전중리초-한밭중-대전고-성균관대-한화,0.6243511502,
14,고동진,2007,한화,0.249,124,394,68,98,8,5,1,119,37,10,4,50,16,67,6,0.3020304569,0.3565217391,2,,1980년 04월 01일,,대전중리초-한밭중-대전고-성균관대-한화,0.658552196,
14,고동진,2008,한화,0.218,31,87,14,19,5,0,0,24,5,2,0,6,0,13,4,0.275862069,0.2688172043,0,,1980년 04월 01일,,대전중리초-한밭중-대전고-성균관대-한화,0.5446792733,
14,고동진,2011,한화,0.251,97,195,31,49,9,0,3,67,19,3,2,15,5,33,5,0.3435897436,0.3209302326,2,,1980년 04월 01일,,대전중리초-한밭중-대전고-성균관대-한화,0.6645199761,
14,고동진,2012,한화,0.27,110,281,32,76,12,0,3,97,29,8,9,38,5,48,10,0.3451957295,0.3672839506,1,,1980년 04월 01일,,대전중리초-한밭중-대전고-성균관대-한화,0.7124796802,
14,고동진,2013,한화,0.272,93,312,31,85,14,0,1,102,31,4,8,34,6,54,11,0.3269230769,0.3551136364,2,,1980년 04월 01일,,대전중리초-한밭중-대전고-성균관대-한화,0.6820367133,
14,고동진,2014,한화,0.241,73,187,21,45,5,0,1,53,14,0,2,18,2,35,2,0.2834224599,0.3140096618,2,,1980년 04월 01일,,대전중리초-한밭중-대전고-성균관대-한화,0.5974321217,
14,고동진,2015,한화,0.169,27,59,5,10,4,0,0,14,7,0,0,2,4,13,3,0.2372881356,0.2461538462,0,,1980년 04월 01일,,대전중리초-한밭중-대전고-성균관대-한화,0.4834419817,
15,고메즈,2016,SK,0.283,117,456,74,129,31,0,21,223,62,16,8,25,5,87,11,0.4890350877,0.3271604938,25,,1988년 03월 05일,,도미니카 알레한드로 바쓰고,0.8161955815,
16,고명성,2018,KT,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178cm/68kg,1999년 04월 16일,내야수(우투우타),군산남초-군산남중-군산상고,0,7000만원
17,고영민,2002,두산,0.1,16,10,1,1,0,0,0,1,1,1,1,0,0,1,0,0.1,0.1,0,,1984년 02월 08일,,도신초-영남중-성남고-두산,0.2,
17,고영민,2003,두산,0.231,32,13,2,3,0,0,0,3,0,1,0,0,0,3,0,0.2307692308,0.2307692308,1,,1984년 02월 08일,,도신초-영남중-성남고-두산,0.4615384615,
17,고영민,2005,두산,0.118,16,17,2,2,0,0,0,2,0,0,0,0,1,9,0,0.1176470588,0.1666666667,0,,1984년 02월 08일,,도신초-영남중-성남고-두산,0.2843137255,
17,고영민,2006,두산,0.27,116,315,38,85,15,5,2,116,29,14,10,24,12,59,6,0.3682539683,0.3447293447,11,,1984년 02월 08일,,도신초-영남중-성남고-두산,0.712983313,
17,고영민,2007,두산,0.268,126,444,89,119,29,1,12,186,66,36,10,61,17,105,9,0.4189189189,0.377394636,9,,1984년 02월 08일,,도신초-영남중-성남고-두산,0.7963135549,
